SMILES,Solvent,Ex (nm),Em (nm),ST (nm),QY,¦Å (cm-1M-1),Log(¦Å),Reference
CC1(C)C(/C=C/C=C/C=C2/N(CCCCS(=O)(=O)O)c3ccc(S(=O)(=O)O)cc3C2(C)C)=[N+](CCCCS(=O)(=O)O)c2ccc(S(=O)(=O)[O-])cc21,O,647,663,16,0.09,115000,5.06069784,https://doi.org/10.1016/j.jphotochem.2010.01.002
CC1(C)C(/C=C/C=C/C=C2/N(CCCCS(=O)(=O)O)c3ccc(S(=O)(=O)O)cc3C2(C)C)=[N+](CCCCS(=O)(=O)O)c2ccc(S(=O)(=O)[O-])cc21,CO,649,670,21,0.13,116000,5.064457989,https://doi.org/10.1016/j.jphotochem.2010.01.002
CC1(C)C(/C=C/C=C2/N(CCCCCC(=O)O)c3ccccc3C2(C)C)=[N+](CCCCCC(=O)O)c2ccccc21,O,545,560,16,0.132,,,https://doi.org/10.1016/j.jphotochem.2007.03.004
CC1(C)C(/C=C/C=C2/N(CCCCCC(=O)O)c3ccccc3C2(C)C)=[N+](CCCCCC(=O)O)c2ccccc21,CO,549,564,15,0.216,,,https://doi.org/10.1016/j.jphotochem.2007.03.004
CC1(C)C(/C=C/C=C2/N(CCCCCC(=O)O)c3ccccc3C2(C)C)=Nc2ccccc21,O,540,567,26,0.06,,,https://doi.org/10.1016/j.jphotochem.2007.03.004
CC1(C)C(/C=C/C=C2/N(CCCCCC(=O)O)c3ccccc3C2(C)C)=Nc2ccccc21,CO,550,569,19,0.129,,,https://doi.org/10.1016/j.jphotochem.2007.03.004
CC1(C)C(/C=C/C=C2/N(CCCCS(=O)(=O)[O-])c3ccccc3C2(C)C)=Nc2ccccc21,O,490,516,26,0.007,,,https://doi.org/10.1016/j.jphotochem.2007.03.004
CC1(C)C(/C=C/C=C2/N(CCCCS(=O)(=O)[O-])c3ccccc3C2(C)C)=Nc2ccccc21,CO,494,528,34,0.005,,,https://doi.org/10.1016/j.jphotochem.2007.03.004
CC1(C)C(/C=C/C=C2/N(CCCCS(=O)(=O)O)c3ccccc3C2(C)C)=[N+](CCCCS(=O)(=O)[O-])c2ccccc21,O,544,560,17,0.09,,,https://doi.org/10.1016/j.jphotochem.2007.03.004
CC1(C)C(/C=C/C=C2/N(CCCCS(=O)(=O)O)c3ccccc3C2(C)C)=[N+](CCCCS(=O)(=O)[O-])c2ccccc21,CO,549,565,17,0.153,,,https://doi.org/10.1016/j.jphotochem.2007.03.004
CC1(C)C(/C=C/C=C2/N(CCO)c3ccccc3C2(C)C)=[N+](CCO)c2ccccc21,CCO,551,568,17,0.05,,,https://doi.org/10.1016/j.optlastec.2021.107412
CC1(C)C(/C=C/C2=C(c3ccc(C(=O)O)cc3)/C(=C/C=C3/N(CCCCS(=O)(=O)[O-])c4ccc5ccccc5c4C3(C)C)CCC2)=[N+](CCCCS(=O)(=O)[O-])c2ccc3ccccc3c21,CO,800,811,11,,,,https://doi.org/10.1016/j.jphotochem.2008.09.008
CC1(C)C(/C=C/C2=C(c3ccc(C(=O)O)cc3)/C(=C/C=C3/N(CCCCS(=O)(=O)[O-])c4ccccc4C3(C)C)CCC2)=[N+](CCCCS(=O)(=O)[O-])c2ccccc21,CO,765,780,15,,,,https://doi.org/10.1016/j.jphotochem.2008.09.008
CC1(C)C(/C=C/C2=C(c3ccc(CCC(=O)NCCCNCCCCNCCCN)cc3)/C(=C/C=C3/N(CCCCS(=O)(=O)[O-])c4ccc(C(=O)NCCCNCCCCNCCCN)cc4C3(C)C)CCC2)=[N+](CCCCS(=O)(=O)[O-])c2ccc(C(=O)NCCCNCCCCNCCCN)cc21,O,767,786,19,0.08,111000,5.045322979,https://doi.org/10.1016/j.dyepig.2017.05.041
CC1(C)C(/C=C/C2=C(c3ccc(CCC(=O)O)cc3)/C(=C/C=C3/N(CCCCS(=O)(=O)[O-])c4ccc(C(=O)O)cc4C3(C)C)CCC2)=[N+](CCCCS(=O)(=O)[O-])c2ccc(C(=O)O)cc21,O,763,783,20,0.1,252000,5.401400541,https://doi.org/10.1016/j.dyepig.2017.05.041
CC1(C)C(/C=C/C2=C(c3ccc(CCC(=O)O)cc3)/C(=C/C=C3/N(CCCS(=O)(=O)[O-])c4ccc(S(=O)(=O)[O-])cc4C3(C)C)CCC2)=[N+](CCCS(=O)(=O)[O-])c2ccc(S(=O)(=O)[O-])cc21,O,,,,,244000,5.387389826,https://doi.org/10.1016/j.dyepig.2016.03.054
CC1(C)C(/C=C/C2=C(c3ccc(CCC(=O)O)cc3)/C(=C/C=C3/N(CCCS(=O)(=O)[O-])c4ccc5ccccc5c4C3(C)C)CCC2)=[N+](CCCS(=O)(=O)[O-])c2ccc3ccccc3c21,CS(=O)C,810,826,16,0.13,230000,5.361727836,https://doi.org/10.1016/j.dyepig.2016.03.054
CC1(C)C(/C=C/C2=C(c3ccc(CCC(=O)O)cc3)/C(=C/C=C3/N(CCCS(=O)(=O)[O-])c4ccccc4C3(C)C)CCC2)=[N+](CCCS(=O)(=O)[O-])c2ccccc21,O,,,,,152000,5.181843588,https://doi.org/10.1016/j.dyepig.2016.03.054
CC1(C)C(/C=C/C2=C(c3ccc(CCC(=O)O)cc3)/C(=C/C=C3/N(CCCS(=O)(=O)[O-])c4ccccc4C3(C)C)CCC2)=[N+](CCCS(=O)(=O)[O-])c2ccccc21,CS(=O)C,774,795,21,0.42,264000,5.421603927,https://doi.org/10.1016/j.dyepig.2016.03.054
CC1(C)C(/C=C/C2=C(c3ccc(Cl)cc3)/C(=C/C=C3/N(CCCCS(=O)(=O)[O-])c4ccccc4C3(C)C)CCC2)=[N+](CCCCS(=O)(=O)[O-])c2ccccc21,CO,769,,,,,,https://doi.org/10.1016/j.tetlet.2012.12.060
CC1(C)C(/C=C/C2=C(Cl)/C(=C/C=C3/N(Cc4ccc([N+](=O)[O-])cc4)c4ccccc4C3(C)C)CCC2)=[N+](Cc2ccc([N+](=O)[O-])cc2)c2ccccc21,CO,785,807,22,0.1009,220000,5.342422681,https://doi.org/10.1016/j.jphotochem.2005.11.004
CC1(C)C(/C=C/C2=C(Cl)/C(=C/C=C3/N(Cc4ccc(C(=O)O)cc4)c4ccc(S(=O)(=O)O)cc4C3(C)C)CCC2)=[N+](Cc2ccc(C(=O)O)cc2)c2ccc(S(=O)(=O)[O-])cc21,CCO,804,815,11,,,,https://doi.org/10.1016/j.tetlet.2016.01.057
CC1(C)C(/C=C/C2=C(Cl)/C(=C/C=C3/N(Cc4ccc(C(=O)O)cc4)c4ccc(S(=O)(=O)O)cc4C3(C)C)CCC2)=[N+](Cc2ccc(C(=O)O)cc2)c2ccc(S(=O)(=O)[O-])cc21,O,784,805,21,,,,https://doi.org/10.1016/j.tetlet.2016.01.057
CC1(C)C(/C=C/C2=C(Cl)/C(=C/C=C3/N(Cc4ccc(C(=O)O)cc4)c4ccc(S(=O)(=O)O)cc4C3(C)C)CCC2)=[N+](Cc2ccc(C(=O)O)cc2)c2ccc(S(=O)(=O)[O-])cc21,CO,792,818,26,,177000,5.247973266,https://doi.org/10.1016/j.tetlet.2016.01.057
CC1(C)C(/C=C/C2=C(Cl)/C(=C/C=C3/N(Cc4ccc(C(=O)O)cc4)c4ccc(S(=O)(=O)O)cc4C3(C)C)CCC2)=[N+](Cc2ccc(C(=O)O)cc2)c2ccc(S(=O)(=O)[O-])cc21,CN(C)C=O,808,820,12,,,,https://doi.org/10.1016/j.tetlet.2016.01.057
CC1(C)C(/C=C/C2=C(Cl)/C(=C/C=C3/N(Cc4ccc(C(=O)O)cc4)c4ccccc4C3(C)C)CCC2)=[N+](Cc2ccc(C(=O)O)cc2)c2ccccc21,CO,786,814,28,0.1097,250000,5.397940009,https://doi.org/10.1016/j.jphotochem.2005.11.004
CC1(C)C(/C=C/C2=C(Cl)/C(=C/C=C3/N(Cc4ccccc4)c4ccc(S(=O)(=O)O)cc4C3(C)C)CCC2)=[N+](Cc2ccccc2)c2ccc(S(=O)(=O)[O-])cc21,CN(C)C=O,807,824,17,,230000,5.361727836,https://doi.org/10.1016/j.jphotochem.2004.05.012
CC1(C)C(/C=C/C2=C(Cl)/C(=C/C=C3/N(Cc4ccccc4)c4ccc(S(=O)(=O)O)cc4C3(C)C)CCC2)=[N+](Cc2ccccc2)c2ccc(S(=O)(=O)[O-])cc21,O,783,803,20,,200000,5.301029996,https://doi.org/10.1016/j.jphotochem.2004.05.012
CC1(C)C(/C=C/C2=C(Cl)/C(=C/C=C3/N(Cc4ccccc4)c4ccc(S(=O)(=O)O)cc4C3(C)C)CCC2)=[N+](Cc2ccccc2)c2ccc(S(=O)(=O)[O-])cc21,CO,791,813,22,,270000,5.431363764,https://doi.org/10.1016/j.jphotochem.2004.05.012
CC1(C)C(/C=C/C2=C(Cl)/C(=C/C=C3/N(Cc4ccccc4)c4ccc(S(=O)(=O)O)cc4C3(C)C)CCC2)=[N+](Cc2ccccc2)c2ccc(S(=O)(=O)[O-])cc21,CCO,796,817,21,,250000,5.397940009,https://doi.org/10.1016/j.jphotochem.2004.05.012
CC1(C)C(/C=C/C2=C(Cl)/C(=C/C=C3/N(Cc4ccccc4)c4ccc(S(=O)(=O)O)cc4C3(C)C)CCC2)=[N+](Cc2ccccc2)c2ccc(S(=O)(=O)[O-])cc21,CS(=O)C,811,827,16,0.065,110000,5.041392685,https://doi.org/10.1016/j.jphotochem.2004.05.012
CC1(C)C(/C=C/C2=C(Cl)/C(=C/C=C3/N(Cc4ccccc4)c4ccccc4C3(C)C)CCC2)=[N+](Cc2ccccc2)c2ccccc21,CO,784,813,29,0.1168,230000,5.361727836,https://doi.org/10.1016/j.jphotochem.2005.11.004
CC1(C)C(/C=C/C2=C(Cl)/C(=C/C=C3/N(CCC(=O)O)c4ccccc4C3(C)C)CCC2)=[N+](CCC(=O)O)c2ccccc21,CS(=O)C,798,814,16,0.146,61000,4.785329835,https://doi.org/10.1016/j.dyepig.2017.06.016
CC1(C)C(/C=C/C2=C(Cl)/C(=C/C=C3/N(CCC(=O)O)c4ccccc4C3(C)C)CCC2)=[N+](CCC(=O)O)c2ccccc21,CCO,785,803,18,0.184,187000,5.271841607,https://doi.org/10.1016/j.dyepig.2017.06.016
CC1(C)C(/C=C/C2=C(Cl)/C(=C/C=C3/N(CCC(=O)O)c4ccccc4C3(C)C)CCC2)=[N+](CCC(=O)O)c2ccccc21,O,775,793,18,0.05,130000,5.113943352,https://doi.org/10.1016/j.dyepig.2017.06.016
CC1(C)C(/C=C/C2=C(Cl)/C(=C/C=C3/N(CCCC(=O)O)c4ccccc4C3(C)C)CCC2)=[N+](CCCC(=O)O)c2ccccc21,CCO,785,843,58,0.16,240000,5.380211242,https://doi.org/10.1016/j.ica.2017.08.001
CC1(C)C(/C=C/C2=C(Cl)/C(=C/C=C3/N(CCCC[P+](c4ccccc4)(c4ccccc4)c4ccccc4)c4ccccc4C3(C)C)CCC2)=[N+](CCCC[P+](c2ccccc2)(c2ccccc2)c2ccccc2)c2ccccc21,O,799,816,17,0.0095,65000,4.812913357,https://doi.org/10.1016/j.dyepig.2023.111648
CC1(C)C(/C=C/C2=C(Cl)/C(=C/C=C3/N(CCCC[P+](c4ccccc4)(c4ccccc4)c4ccccc4)c4ccccc4C3(C)C)CCC2)=[N+](CCCC[P+](c2ccccc2)(c2ccccc2)c2ccccc2)c2ccccc21,CO,784,802,18,0.06,150000,5.176091259,https://doi.org/10.1016/j.dyepig.2023.111648
CC1(C)C(/C=C/C2=C(Cl)/C(=C/C=C3/N(CCCC[P+](c4ccccc4)(c4ccccc4)c4ccccc4)c4ccccc4C3(C)C)CCC2)=[N+](CCCCCC(=O)O)c2ccc(S(=O)(=O)O)cc21,CO,785,806,21,0.07,131000,5.117271296,https://doi.org/10.1016/j.dyepig.2023.111648
CC1(C)C(/C=C/C2=C(Cl)/C(=C/C=C3/N(CCCC[P+](c4ccccc4)(c4ccccc4)c4ccccc4)c4ccccc4C3(C)C)CCC2)=[N+](CCCCCC(=O)O)c2ccc(S(=O)(=O)O)cc21,O,785,805,20,0.05,73000,4.86332286,https://doi.org/10.1016/j.dyepig.2023.111648
CC1(C)C(/C=C/C2=C(Cl)/C(=C/C=C3/N(CCCC[P+](c4ccccc4)(c4ccccc4)c4ccccc4)c4ccccc4C3(C)C)CCC2)=[N+](CCCS(=O)(=O)O)c2ccc(S(=O)(=O)O)cc21,O,782,802,20,0.05,70000,4.84509804,https://doi.org/10.1016/j.dyepig.2023.111648
CC1(C)C(/C=C/C2=C(Cl)/C(=C/C=C3/N(CCCC[P+](c4ccccc4)(c4ccccc4)c4ccccc4)c4ccccc4C3(C)C)CCC2)=[N+](CCCS(=O)(=O)O)c2ccc(S(=O)(=O)O)cc21,CO,788,807,19,0.07,142000,5.152288344,https://doi.org/10.1016/j.dyepig.2023.111648
CC1(C)C(/C=C/C2=C(Cl)/C(=C/C=C3/N(CCCCCC(=O)O)c4ccccc4C3(C)C)CCC2)=[N+](CCCCCC(=O)O)c2ccccc21,CS(=O)C,796,814,18,0.108,79000,4.897627091,https://doi.org/10.1016/j.dyepig.2017.06.016
CC1(C)C(/C=C/C2=C(Cl)/C(=C/C=C3/N(CCCCCC(=O)O)c4ccccc4C3(C)C)CCC2)=[N+](CCCCCC(=O)O)c2ccccc21,CCO,784,803,19,0.174,146000,5.164352856,https://doi.org/10.1016/j.dyepig.2017.06.016
CC1(C)C(/C=C/C2=C(Cl)/C(=C/C=C3/N(CCCCCC(=O)O)c4ccccc4C3(C)C)CCC2)=[N+](CCCCCC(=O)O)c2ccccc21,CO,782,808,26,0.1188,230000,5.361727836,https://doi.org/10.1016/j.jphotochem.2005.11.004
CC1(C)C(/C=C/C2=C(Cl)/C(=C/C=C3/N(CCCCCC(=O)O)c4ccccc4C3(C)C)CCC2)=[N+](CCCCCC(=O)O)c2ccccc21,O,774,794,20,0.049,87000,4.939519253,https://doi.org/10.1016/j.dyepig.2017.06.016
CC1(C)C(/C=C/C2=C(Cl)/C(=C/C=C3/N(CCCCCCCCCC(=O)O)c4ccccc4C3(C)C)CCC2)=[N+](CCCCCCCCCC(=O)O)c2ccccc21,CCO,783,802,19,0.197,220000,5.342422681,https://doi.org/10.1016/j.dyepig.2017.06.016
CC1(C)C(/C=C/C2=C(Cl)/C(=C/C=C3/N(CCCCCCCCCC(=O)O)c4ccccc4C3(C)C)CCC2)=[N+](CCCCCCCCCC(=O)O)c2ccccc21,O,774,793,19,0.053,121000,5.08278537,https://doi.org/10.1016/j.dyepig.2017.06.016
CC1(C)C(/C=C/C2=C(Cl)/C(=C/C=C3/N(CCCCCCCCCC(=O)O)c4ccccc4C3(C)C)CCC2)=[N+](CCCCCCCCCC(=O)O)c2ccccc21,CS(=O)C,794,813,19,0.151,245000,5.389166084,https://doi.org/10.1016/j.dyepig.2017.06.016
CC1(C)C(/C=C/C2=C(Cl)/C(=C/C=C3/N(CCCCS(=O)(=O)[O-])c4ccc(C(=O)O)cc4C3(C)C)CCC2)=[N+](CCCCS(=O)(=O)[O-])c2ccc(C(=O)O)cc21,O,787,808,21,0.04,200000,5.301029996,https://doi.org/10.1016/j.dyepig.2017.05.041
CC1(C)C(/C=C/C2=C(Cl)/C(=C/C=C3/N(CCCCS(=O)(=O)[O-])c4ccc5ccccc5c4C3(C)C)CCC2)=[N+](CCCCS(=O)(=O)[O-])c2ccc3ccccc3c21,CO,820,836,16,,,,https://doi.org/10.1016/j.jphotochem.2008.09.008
CC1(C)C(/C=C/C2=C(Cl)/C(=C/C=C3/N(CCCCS(=O)(=O)O)c4ccc(I)cc4C3(C)C)CCC2)=[N+](CCCCS(=O)(=O)[O-])c2ccc(I)cc21,C(Cl)Cl,808,827,19,,,,https://doi.org/10.1016/j.saa.2024.124798
CC1(C)C(/C=C/C2=C(Cl)/C(=C/C=C3/N(CCCCS(=O)(=O)O)c4ccc(I)cc4C3(C)C)CCC2)=[N+](CCCCS(=O)(=O)[O-])c2ccc(I)cc21,CCO,800,829,29,,418000,5.621176282,https://doi.org/10.1016/j.saa.2024.124798
CC1(C)C(/C=C/C2=C(Cl)/C(=C/C=C3/N(CCCCS(=O)(=O)O)c4ccc(I)cc4C3(C)C)CCC2)=[N+](CCCCS(=O)(=O)[O-])c2ccc(I)cc21,O,789,823,34,,,,https://doi.org/10.1016/j.saa.2024.124798
CC1(C)C(/C=C/C2=C(Cl)/C(=C/C=C3/N(CCCCS(=O)(=O)O)c4ccccc4C3(C)C)CCC2)=[N+](CCCCS(=O)(=O)O)c2ccccc21,O,776,821,45,0.0189,256000,5.408239965,https://doi.org/10.1016/j.saa.2019.117702
CC1(C)C(/C=C/C2=C(Cl)/C(=C/C=C3/N(CCCOc4ccc(C(=O)O)cc4)c4ccccc4C3(C)C)CCC2)=[N+](CCCOc2ccc(C(=O)O)cc2)c2ccccc21,CO,781,799,18,,,,https://doi.org/10.1016/j.cclet.2019.02.003
CC1(C)C(/C=C/C2=C(Cl)/C(=C/C=C3/N(CCO)c4ccccc4C3(C)C)CCC2)=[N+](CCO)c2ccccc21,CCO,782,832,50,0.19,430000,5.633468456,https://doi.org/10.1016/j.ica.2017.08.001
CC1(C)C(/C=C/C2=C(Cl)/C(=C/C=C3\N(CCCCS(=O)(=O)[O-])c4ccc5ccccc5c4C3(C)C)CCC2)=[N+](CCCCS(=O)(=O)[O-])c2ccc3ccccc3c21,CO,820,857,37,0.044,202000,5.305351369,https://doi.org/10.1016/j.bbabio.2019.01.009
CC1(C)C(/C=C/C2=C(Cl)/C(=C\C=C3/N(Cc4ccc(C(=O)O)cc4)c4ccc(S(=O)(=O)[O-])cc4C3(C)C)CCC2)=[N+](Cc2ccc(C(=O)O)cc2)c2ccc(S(=O)(=O)[O-])cc21,CO,795,818,23,,,,https://doi.org/10.1016/j.dyepig.2003.10.004
CC1(C)C(/C=C/C2=C(Cl)/C(=C\C=C3/N(Cc4ccc(C(=O)O)cc4)c4ccc(S(=O)(=O)[O-])cc4C3(C)C)CCC2)=[N+](Cc2ccc(C(=O)O)cc2)c2ccc(S(=O)(=O)[O-])cc21,O,784,805,21,,104070,5.017325555,https://doi.org/10.1016/j.dyepig.2003.10.004
CC1(C)C(/C=C/C2=C(Cl)/C(=C\C=C3/N(Cc4ccc(C(=O)O)cc4)c4ccc(S(=O)(=O)[O-])cc4C3(C)C)CCC2)=[N+](Cc2ccc(C(=O)O)cc2)c2ccc(S(=O)(=O)[O-])cc21,CN(C)C=O,809,820,11,,,,https://doi.org/10.1016/j.dyepig.2003.10.004
CC1(C)C(/C=C/C2=C(Cl)/C(=C\C=C3/N(CCCCCC(=O)O)c4ccc(S(=O)(=O)[O-])cc4C3(C)C)CCC2)=[N+](CCCCCC(=O)O)c2ccc(S(=O)(=O)[O-])cc21,CO,825,,,,,,https://doi.org/10.1016/j.dyepig.2003.10.004
CC1(C)C(/C=C/C2=C(Cl)/C(=C\C=C3/N(CCCCCC(=O)O)c4ccc(S(=O)(=O)[O-])cc4C3(C)C)CCC2)=[N+](CCCCCC(=O)O)c2ccc(S(=O)(=O)[O-])cc21,CN(C)C=O,821,,,,,,https://doi.org/10.1016/j.dyepig.2003.10.004
CC1(C)C(/C=C/C2=C(NC3CC(C)(C)N([O-])C(C)(C)C3)/C(=C/C=C3/N(CCCCS(=O)(=O)O)c4ccccc4C3(C)C)CCC2)=[N+](CCCCS(=O)(=O)O)c2ccccc21,O,692,762,70,0.1696,142000,5.152288344,https://doi.org/10.1016/j.saa.2019.117702
CC1(C)C(/C=C/C2=C(NC3CC(C)(C)N(O)C(C)(C)C3)/C(=C/C=C3/N(CCCCS(=O)(=O)O)c4ccccc4C3(C)C)CCC2)=[N+](CCCCS(=O)(=O)O)c2ccccc21,O,686,759,73,0.0198,43000,4.633468456,https://doi.org/10.1016/j.saa.2019.117702
CC1(C)C(/C=C/C2=C(Nc3ccccc3)/C(=C/C=C3/N(CCCCS(=O)(=O)[O-])c4ccc(C(=O)NCCCNCCCCNCCCN)cc4C3(C)C)CCC2)=[N+](CCCCS(=O)(=O)[O-])c2ccc(C(=O)NCCCNCCCCNCCCN)cc21,O,732,791,59,0.01,117000,5.068185862,https://doi.org/10.1016/j.dyepig.2017.05.041
CC1(C)C(/C=C/C2=C(NCc3ccccc3)/C(=C/C=C3/N(Cc4ccc(C(=O)O)cc4)c4ccc(S(=O)(=O)O)cc4C3(C)C)CCC2)=[N+](Cc2ccc(C(=O)O)cc2)c2ccc(S(=O)(=O)[O-])cc21,CO,614,733,119,,127000,5.103803721,https://doi.org/10.1016/j.tetlet.2016.01.057
CC1(C)C(/C=C/C2=C(NCc3ccccc3)/C(=C/C=C3/N(Cc4ccc(C(=O)O)cc4)c4ccc(S(=O)(=O)O)cc4C3(C)C)CCC2)=[N+](Cc2ccc(C(=O)O)cc2)c2ccc(S(=O)(=O)[O-])cc21,CN(C)C=O,620,746,126,,,,https://doi.org/10.1016/j.tetlet.2016.01.057
CC1(C)C(/C=C/C2=C(NCc3ccccc3)/C(=C/C=C3/N(Cc4ccc(C(=O)O)cc4)c4ccc(S(=O)(=O)O)cc4C3(C)C)CCC2)=[N+](Cc2ccc(C(=O)O)cc2)c2ccc(S(=O)(=O)[O-])cc21,O,612,748,136,,,,https://doi.org/10.1016/j.tetlet.2016.01.057
CC1(C)C(/C=C/C2=C(NCc3ccccc3)/C(=C/C=C3/N(Cc4ccc(C(=O)O)cc4)c4ccc(S(=O)(=O)O)cc4C3(C)C)CCC2)=[N+](Cc2ccc(C(=O)O)cc2)c2ccc(S(=O)(=O)[O-])cc21,CCO,619,746,127,,,,https://doi.org/10.1016/j.tetlet.2016.01.057
CC1(C)C(/C=C/C2=C(NCc3ccccc3)/C(=C/C=C3/N(Cc4ccccc4)c4ccc(S(=O)(=O)O)cc4C3(C)C)CCC2)=[N+](Cc2ccccc2)c2ccc(S(=O)(=O)[O-])cc21,CCO,631,749,118,,,,https://doi.org/10.1016/j.jphotochem.2006.10.027
CC1(C)C(/C=C/C2=C(NCc3ccccc3)/C(=C/C=C3/N(Cc4ccccc4)c4ccc(S(=O)(=O)O)cc4C3(C)C)CCC2)=[N+](Cc2ccccc2)c2ccc(S(=O)(=O)[O-])cc21,CC(=O)C,657,766,109,,,,https://doi.org/10.1016/j.jphotochem.2006.10.027
CC1(C)C(/C=C/C2=C(NCc3ccccc3)/C(=C/C=C3/N(Cc4ccccc4)c4ccc(S(=O)(=O)O)cc4C3(C)C)CCC2)=[N+](Cc2ccccc2)c2ccc(S(=O)(=O)[O-])cc21,CS(=O)C,637,766,129,,,,https://doi.org/10.1016/j.jphotochem.2006.10.027
CC1(C)C(/C=C/C2=C(NCc3ccccc3)/C(=C/C=C3/N(Cc4ccccc4)c4ccc(S(=O)(=O)O)cc4C3(C)C)CCC2)=[N+](Cc2ccccc2)c2ccc(S(=O)(=O)[O-])cc21,CO,623,740,117,,,,https://doi.org/10.1016/j.jphotochem.2006.10.027
CC1(C)C(/C=C/C2=C(NCc3ccccc3)/C(=C/C=C3/N(Cc4ccccc4)c4ccc(S(=O)(=O)O)cc4C3(C)C)CCC2)=[N+](Cc2ccccc2)c2ccc(S(=O)(=O)[O-])cc21,CN(C)C=O,644,767,123,,,,https://doi.org/10.1016/j.jphotochem.2006.10.027
CC1(C)C(/C=C/C2=C(NCCS(=O)(=O)O)/C(=C/C=C3/N(Cc4ccc(C(=O)O)cc4)c4ccc(S(=O)(=O)O)cc4C3(C)C)CCC2)=[N+](Cc2ccc(C(=O)O)cc2)c2ccc(S(=O)(=O)[O-])cc21,CCO,615,735,120,,,,https://doi.org/10.1016/j.tetlet.2016.01.057
CC1(C)C(/C=C/C2=C(NCCS(=O)(=O)O)/C(=C/C=C3/N(Cc4ccc(C(=O)O)cc4)c4ccc(S(=O)(=O)O)cc4C3(C)C)CCC2)=[N+](Cc2ccc(C(=O)O)cc2)c2ccc(S(=O)(=O)[O-])cc21,CN(C)C=O,620,749,129,,,,https://doi.org/10.1016/j.tetlet.2016.01.057
CC1(C)C(/C=C/C2=C(NCCS(=O)(=O)O)/C(=C/C=C3/N(Cc4ccc(C(=O)O)cc4)c4ccc(S(=O)(=O)O)cc4C3(C)C)CCC2)=[N+](Cc2ccc(C(=O)O)cc2)c2ccc(S(=O)(=O)[O-])cc21,CO,609,731,122,,115000,5.06069784,https://doi.org/10.1016/j.tetlet.2016.01.057
CC1(C)C(/C=C/C2=C(NCCS(=O)(=O)O)/C(=C/C=C3/N(Cc4ccc(C(=O)O)cc4)c4ccc(S(=O)(=O)O)cc4C3(C)C)CCC2)=[N+](Cc2ccc(C(=O)O)cc2)c2ccc(S(=O)(=O)[O-])cc21,O,607,750,143,,,,https://doi.org/10.1016/j.tetlet.2016.01.057
CC1(C)C(/C=C/C2=C(Oc3ccc(CCC(=O)O)cc3)/C(=C/C=C3/N(CCC[N+](C)(C)C)c4ccc(S(=O)(=O)[O-])cc4C3(C)C)CCC2)=[N+](CCC[N+](C)(C)C)c2ccc(S(=O)(=O)[O-])cc21,O,768,785,17,0.091,198000,5.29666519,https://doi.org/10.1016/j.ccr.2024.215986
CC1(C)C(/C=C/C2=C(Oc3ccc(NC(=O)CCC(=O)O)cc3)/C(=C/C=C3/N(CCCCS(=O)(=O)[O-])c4ccc5ccccc5c4C3(C)C)CCC2)=[N+](CCCCS(=O)(=O)[O-])c2ccc3ccccc3c21,CO,805,835,30,0.06,,,https://doi.org/10.1016/j.cclet.2019.02.003
CC1(C)C(/C=C/C2=C(Oc3ccc(S(=O)(=O)[O-])cc3)/C(=C/C=C3/N(CCCCCC(=O)O)c4ccc(S(=O)(=O)[O-])cc4C3(C)C)CCC2)=[N+](CCCCS(=O)(=O)[O-])c2ccc(S(=O)(=O)[O-])cc21,O,774,795,21,0.087,240000,5.380211242,https://doi.org/10.1021/acschembio.9b00122
CC1(C)C(/C=C/C2=C(Sc3ccc(C(=O)O)cc3)/C(=C/C=C3/N(CCCS(=O)(=O)[O-])c4ccccc4C3(C)C)CCC2)=[N+](CCCS(=O)(=O)[O-])c2ccccc21,CO,793,812,19,0.076,160000,5.204119983,https://doi.org/10.1016/j.molstruc.2015.02.037
CC1(C)C(/C=C/C2=C(Sc3ccc(C(=O)OCc4c5ccccc5cc5ccccc45)cc3)/C(=C/C=C3/N(CCCS(=O)(=O)[O-])c4ccccc4C3(C)C)CCC2)=[N+](CCCS(=O)(=O)[O-])c2ccccc21,CO,798,813,15,0.098,170000,5.230448921,https://doi.org/10.1016/j.molstruc.2015.02.037
CC1(C)C(/C=C/C2=C(Sc3ccc(C(=O)OCc4ccc5ccc6cccc7ccc4c5c67)cc3)/C(=C/C=C3/N(CCCS(=O)(=O)[O-])c4ccccc4C3(C)C)CCC2)=[N+](CCCS(=O)(=O)[O-])c2ccccc21,CO,796,814,18,0.072,150000,5.176091259,https://doi.org/10.1016/j.molstruc.2015.02.037
CC1(C)C(/C=C/C2=C(Sc3ccc(C(=O)OCc4ccsc4)cc3)/C(=C/C=C3/N(CCCS(=O)(=O)[O-])c4ccccc4C3(C)C)CCC2)=[N+](CCCS(=O)(=O)[O-])c2ccccc21,CO,795,813,18,0.051,180000,5.255272505,https://doi.org/10.1016/j.molstruc.2015.02.037
CC1(C)C(/C=C/C2=C(Sc3ccc(C(=O)OCCc4ccsc4)cc3)/C(=C/C=C3/N(CCCS(=O)(=O)[O-])c4ccccc4C3(C)C)CCC2)=[N+](CCCS(=O)(=O)[O-])c2ccccc21,CO,797,816,19,0.07,190000,5.278753601,https://doi.org/10.1016/j.molstruc.2015.02.037
