SMILES,Solvent,Ex (nm),Em (nm),ST (nm),QY,¦Å (cm-1M-1),Log(¦Å),Reference
CCN(CC)c1ccc2c(c1)Oc1ccc3ccc(O)cc3c1C21OC(=O)c2ccccc21,C1CCOC1,559,599,40,,22800,4.357934847,https://doi.org/10.1016/j.dyepig.2016.05.012
CCN(CC)c1ccc2c(c1)Oc1ccc3ccc(O)cc3c1C21OC(=O)c2ccccc21,CC(=O)C,556,600,44,,21900,4.340444115,https://doi.org/10.1016/j.dyepig.2016.05.012
CCN(CC)c1ccc2c(c1)Oc1ccc3ccc(O)cc3c1C21OC(=O)c2ccccc21,CC1=CC=CC=C1,563,600,37,,21100,4.324282455,https://doi.org/10.1016/j.dyepig.2016.05.012
CCN(CC)c1ccc2c(c1)Oc1ccc3ccc(O)cc3c1C21OC(=O)c2ccccc21,CN(C)C=O,562,607,45,,17100,4.23299611,https://doi.org/10.1016/j.dyepig.2016.05.012
CCN(CC)c1ccc2c(c1)Oc1ccc3ccc(O)cc3c1C21OC(=O)c2ccccc21,CCO,556,599,43,,21600,4.334453751,https://doi.org/10.1016/j.dyepig.2016.05.012
CCN(CC)c1ccc2c(c1)Oc1ccccc1/C2=C/C=C/c1c2ccccc2[o+]c2cc(N(CC)CC)ccc12,CC#N,805,,,,805000,5.90579588,https://doi.org/10.1016/j.dyepig.2005.08.017
CCN(CC)c1ccc2c(c1)Oc1ccccc1/C2=C\C=C\C1=[N+](C)c2ccccc2C1(C)C,CC#N,673,,,,73000,4.86332286,https://doi.org/10.1016/j.dyepig.2005.08.017
CCN(CC)c1ccc2c(c1)Oc1ccccc1/C2=C\C=C\c1ccc2ccccc2[n+]1C,CC#N,604,,,,48000,4.681241237,https://doi.org/10.1016/j.dyepig.2005.08.017
CCN(CC)c1ccc2c(c1)Oc1ccccc1/C2=C\C=C\c1sc2ccccc2[n+]1C,CC#N,630,,,,38000,4.579783597,https://doi.org/10.1016/j.dyepig.2005.08.017
CCN(CC)c1ccc2c(c1)P(=O)(c1ccccc1)C1=CC(=[N+](CC)CC)C=CC1=C2c1c(C)cccc1C,O,708,734,26,,99300,4.996949248,https://doi.org/10.1021/acs.joc.4c00741
CCN(CC)c1ccc2c(c1)P(=O)(c1ccccc1)C1=CC(=[N+](CC)CC)C=CC1=C2c1c(OC)cccc1OC,O,712,740,28,0.13,94200,4.974050903,https://doi.org/10.1016/j.dyepig.2022.110735
