SMILES,Solvent,AM,EM,QY,AC,ST,LGAC,Et30,SP,SdP,SA,SB
C(=Cc1cc[n+](CCCCCCCCCC[n+]2ccc(C=Cc3ccc(N(c4ccccc4)c4ccccc4)cc3)c3ccccc32)c2ccccc12)c1ccc(N(c2ccccc2)c2ccccc2)cc1,C1CCOC1,536,731,,,195,,37.4,0.714,0.634,0,0.591
CCN1/C(=C\C=C\C=C\c2sc3ccccc3[n+]2CC)Sc2ccccc21,CO,600,641,0.06,18000,41,4.255272505,55.4,0.608,0.904,0.605,0.545
COC(=O)CCCCCCCCC[N+]1=C(/C=C/C2=C(Cl)/C(=C/C=C3/N(CCCCCCCCCC(=O)O)c4ccccc4C3(C)C)CCC2)C(C)(C)c2ccccc21,CS(=O)C,797,813,0.137,216000,16,5.334453751,45.1,0.83,1,0.072,0.647
CCN1/C(=C/C=C2\CCCC(/C=C/C3=[N+](CC)c4ccc5ccccc5c4C3(C)C)=C2Cl)C(C)(C)c2c1ccc1ccccc21,CN(C)C=O,826,,,,,,43.2,0.759,0.977,0.031,0.613
CCN1/C(=C/C=C2\CCCC(/C=C/C3=[N+](CC)c4ccccc4C3(C)C)=C2c2c(C)cccc2C)C(C)(C)c2ccccc21,CC#N,760,788,0.26,295000,28,5.469822016,45.6,0.645,0.974,0.044,0.286
CN1/C(=C\C=C(\C=C\c2sc3ccccc3[n+]2C)c2ccccc2)Sc2ccccc21,CO,645,658,0.09,105267,13,5.022292246,55.4,0.608,0.904,0.605,0.545
CN1/C(=C/C2=[N+](C)c3ccccc3C2(C)C)C=Cc2ccccc21,CO,471,,,47000,,4.672097858,55.4,0.608,0.904,0.605,0.545
CN1/C(=C\C=C\C2=[N+](C)c3cccc4cccc2c34)C(C)(C)c2ccccc21,CO,656,,,98500,,4.99343623,55.4,0.608,0.904,0.605,0.545
CCN1C(=CC(/C=C/C=C2/N(CC)c3ccccc3C2(C)C)=[NH+]CCO)C(C)(C)c2ccccc21,O,517,620,,,103,,63.1,0.681,0.997,1.062,0.025
C#CCN1CCN(c2c(F)cc3c(c2F)OC2=C(/C=C/C4=[N+](C)c5ccccc5C4(C)C)CCCC2=C3)CC1,CCO,614,723,0.01,42300,109,4.626340367,51.9,0.633,0.783,0.4,0.658
CCN1/C(=C/C=C2\CCCC(/C=C/C3=[N+](CC)c4ccc(S(=O)(=O)[O-])cc4C3(C)C)=C2NCc2ccccc2)C(C)(C)c2cc(S(=O)(=O)O)ccc21,CO,633,735,,156000,102,5.193124598,55.4,0.608,0.904,0.605,0.545
CC[n+]1c(/C=C2/C=C(/C=C/c3cn(CCCCCC(=O)O)c4ccccc34)CC(C)(C)C2)sc2ccccc21,O,503,695,0.0174,56800,192,4.754348336,63.1,0.681,0.997,1.062,0.025
CN(C1=C([O-])/C(=C/C2=[N+](C)c3ccccc3C2(C)C)C1=O)c1ccccc1,CO,495,555,0.002,98200,60,4.992111488,55.4,0.608,0.904,0.605,0.545
CC1(C)C2=C(C=C/C=C\C=C3CCC[N+]4=C3C(C)(C)c3ccccc34)CCCN2c2ccccc21,CN(C)C=O,794,815,,,21,,43.2,0.759,0.977,0.031,0.613
C[n+]1c(/C=C2/C=C(C=Cc3cn(Cc4ccccc4)c4ccccc34)CC(C)(C)C2)sc2ccc3ccccc3c21,CC(=O)C,548,712,0.0132,60500,164,4.781755375,42.2,0.651,0.907,0,0.475
C[N+]1=C(/C=C/C2=C3Oc4c(cc(F)c([Se]c5ccc6c(c5)Cc5ccccc5-6)c4F)C=C3CCC2)C(C)(C)c2ccccc21,C(Cl)(Cl)Cl,599,,,39350,,4.594944737,39.1,0.783,0.614,0.047,0.071
CC1(C)C(/C=C/C2=C(Oc3ccc(NC(=O)CCC(=O)O)cc3)/C(=C/C=C3/N(CCCCS(=O)(=O)[O-])c4ccc5ccccc5c4C3(C)C)CCC2)=[N+](CCCCS(=O)(=O)[O-])c2ccc3ccccc3c21,CO,805,835,0.06,,30,,55.4,0.608,0.904,0.605,0.545
CC1(C)C(/C=C/C2=C(Nc3ccccc3)/C(=C/C=C3/N(CCCCS(=O)(=O)[O-])c4ccc(C(=O)NCCCNCCCCNCCCN)cc4C3(C)C)CCC2)=[N+](CCCCS(=O)(=O)[O-])c2ccc(C(=O)NCCCNCCCCNCCCN)cc21,O,732,791,0.01,117000,59,5.068185862,63.1,0.681,0.997,1.062,0.025
CCN1C(=O)C(=C/C=c2/c3cccc4cccc(c43)n2Cc2ccccc2)C(=O)N(CC)C1=S,C(Cl)Cl,631,682,,,51,,40.7,0.761,0.769,0.04,0.178
C[n+]1c(C=C2C=CN(CCCC[NH2+]c3ccc(-c4ccc([NH2+]CCCCN5C=C/C(=C\c6oc7ccccc7[n+]6C)c6ccccc65)cc4)cc3)c3ccccc32)oc2ccccc21,CC#N,481,,,162900,,5.211921084,45.6,0.645,0.974,0.044,0.286
CCN1C(=O)C(=C/C=C/C2C(=O)N(CC)C(=S)N(CC)C2=O)C(=O)N(CC)C1=S,C(Cl)Cl,566,580,,,14,,40.7,0.761,0.769,0.04,0.178
CCCC[N+]1=C(/C=C2/N(C(C)(C)C)c3ccc(Cl)cc3C2(C)C)c2cccc3cccc1c23,CO,562,,,32500,,4.511883361,55.4,0.608,0.904,0.605,0.545
CN(C)c1ccc(C=Cc2cc[n+](CCC[n+]3ccc(C=Cc4ccc(N(C)C)cc4)cc3)cc2)cc1,CCOC(=O)C,476,597,,,121,,38.1,0.656,0.603,0,0.542
CCCCC(CC)CC1=C(c2ccccc2)/C(=C/C=C/C=C/c2c(-c3ccccc3)c(CC(CC)CCCC)c3ccccn23)[n+]2ccccc21,CS(=O)C,827,864,0.034,171000,37,5.23299611,45.1,0.83,1,0.072,0.647
CCN1C(=O)C(=C/C=C\C=C2\N(C)c3ccccc3C2(C)C)C(=O)N(CC)C1=S,CCO,614,635,0.16,208900,21,5.31993844,51.9,0.633,0.783,0.4,0.658
CN1/C(=C/C=C/C=C(I)/C=C/C2=[N+](C)c3ccc(I)cc3C2(C)C)C(C)(C)c2cc(I)ccc21,CO,747,772,0.085,260000,25,5.414973348,55.4,0.608,0.904,0.605,0.545
CN1/C(=C\C=C\c2ccc3ccccc3[n+]2C)C(C)(C)c2ccccc21,CC#N,558,,,118300,,5.072984745,45.6,0.645,0.974,0.044,0.286
CN1C=C/C(=C\c2scc(-c3ccccc3)[n+]2C)c2ccccc21,CO,515,,,66300,,4.821513528,55.4,0.608,0.904,0.605,0.545
CCCCN1/C(=C\C=C\C=C\C2=[N+](CCCC)c3ccccc3C2(C)C)C(C)(C)c2ccccc21,O,641,659,,,18,,63.1,0.681,0.997,1.062,0.025
CN(C1=C([O-])/C(=C/C2=[N+](C)c3ccccc3C2(C)C)C1=O)c1ccccc1,O,490,540,0.002,83800,50,4.923244019,63.1,0.681,0.997,1.062,0.025
C[n+]1c(/C=C2/C=C(C=Cc3cn(Cc4ccccc4)c4ccccc34)CC(C)(C)C2)sc2ccc3ccccc3c21,CCO,553,714,0.0155,75400,161,4.877371346,51.9,0.633,0.783,0.4,0.658
CC[n+]1c(C=CC=C2N(C)c3ccccc3C2(C)C)sc2ccccc21,C(Cl)Cl,550,572,0.05,142000,22,5.152288344,40.7,0.761,0.769,0.04,0.178
CC(C)(C)OC(=O)C(CCN=[N+]=[N-])NC(=O)CC[N+]1=C(/C=C/C=C/C=C2/N(CCC(=O)NCCOCCOCCCCCCCl)c3ccccc3C2(C)C)C(C)(C)c2ccccc21,CCO,645,670,0.29,245000,25,5.389166084,51.9,0.633,0.783,0.4,0.658
CC1(C)C(/C=C2\C(=O)C(/C=C3/Nc4ccc([N+](=O)[O-])cc4C3(C)C)=C2[O-])=[NH+]c2ccc([N+](=O)[O-])cc21,CCO,580,665,,82000,85,4.913813852,51.9,0.633,0.783,0.4,0.658
CCN1/C(=C/C(C)=C/c2sc3cc(NC(=O)c4ccccc4)ccc3[n+]2CC)Sc2cc(NC(=O)c3ccccc3)ccc21,CC#N,565,589,0.002,,24,,45.6,0.645,0.974,0.044,0.286
