SMILES,Solvent,AM,EM,QY,AC,ST,LGAC,Et30,SP,SdP,SA,SB
O=c1cc2oc3cc(O)c(Cl)cc3c(-c3ccccc3CO)c-2cc1Cl,O,506,523,,,17,,63.1,0.681,0.997,1.062,0.025
CCOC(=O)/C(C#N)=C/C1=C2Oc3cc4ccccc4cc3C(/N=C/N(C)C)=C2CC1,CO,538,608,0.0258,61600,70,4.789580712,55.4,0.608,0.904,0.605,0.545
CCOC(=O)/C(C#N)=C/C1=C2Oc3cc4ccccc4cc3C(/N=C/N(C)C)=C2CC1,CC#N,538,612,0.0225,61200,74,4.786751422,45.6,0.645,0.974,0.044,0.286
CCOC(=O)/C(C#N)=C/C1=C2Oc3cc4ccccc4cc3C(/N=C/N(C)C)=C2CC1,C1CCOC1,538,610,0.0216,60800,72,4.783903579,37.4,0.714,0.634,0,0.591
CCOC(=O)/C(C#N)=C/C1=C2Oc3cc4ccccc4cc3C(/N=C/N(C)C)=C2CC1,C(Cl)Cl,539,611,0.0227,61100,72,4.78604121,40.7,0.761,0.769,0.04,0.178
CON(OC)c1ccc2c(c1)[Si](C)(C)C1=CC(=[N+](OC)OC)C=CC1=C2c1cc(N=[N+]=[N-])ccc1C,O,653,667,0.081,,14,,63.1,0.681,0.997,1.062,0.025
CCN(CC)c1ccc2c(/C(C=[N+](C)C)=C/N(C)C)c3ccc(=[N+](CC)CC)cc-3oc2c1,CC#N,582,604,0.2,123000,22,5.089905111,45.6,0.645,0.974,0.044,0.286
C[Si]1(C)C2=CC(=[N+]3CCC3)C=CC2=C(c2ccccc2O)c2ccc(N3CCC3)cc21,O,651,666,,,15,,63.1,0.681,0.997,1.062,0.025
c1ccc(-c2c3ccc(=[N+]4CCCCC4)cc-3oc3cc(N4CCCCC4)ccc23)cc1,C(Cl)Cl,565,585,0.89,106000,20,5.025305865,40.7,0.761,0.769,0.04,0.178
c1ccc(-c2c3ccc(=[N+]4CCCCC4)cc-3oc3cc(N4CCCCC4)ccc23)cc1,CCO,564,588,0.3,86700,24,4.938019097,51.9,0.633,0.783,0.4,0.658
c1ccc(Cc2c3ccc(=[N+]4CCCCC4)cc-3oc3cc(N4CCCCC4)ccc23)cc1,C(Cl)Cl,566,582,0.87,95900,16,4.981818607,40.7,0.761,0.769,0.04,0.178
CCN(CC)c1ccc2c(c1)Oc1ccccc1/C2=C\C=C\c1sc2ccccc2[n+]1C,CC#N,630,,,38000,,4.579783597,45.6,0.645,0.974,0.044,0.286
CCOC(=O)CSc1c(F)c(F)c(C(=O)O)c(C2=C3C=CC(=[N+]4CCC4)C=C3[Si](C)(C)c3cc(N4CCC4)ccc32)c1F,O,668,681,,,13,,63.1,0.681,0.997,1.062,0.025
C=CCOC(=O)c1ccccc1-c1c2cc(Br)c(=O)c(Br)c-2oc2c(Br)c(OCC=C)c(Br)cc12,CCO,535,547,0.05,59252,12,4.772703014,51.9,0.633,0.783,0.4,0.658
COc1cc(N)c(OC)c(C2=C3C=CC(=[N+](C)C)C=C3[Si](C)(C)c3cc(N(C)C)ccc32)c1,O,654,672,0.0012,,18,,63.1,0.681,0.997,1.062,0.025
CCN1CCN(CC)c2cc3c(cc21)Oc1cc2c(cc1=C3c1ccccc1C(=O)O)N(CC)CC[N+]=2CC,CC#N,604,653,,,49,,45.6,0.645,0.974,0.044,0.286
CCN1CCN(CC)c2cc3c(cc21)Oc1cc2c(cc1=C3c1ccccc1C(=O)O)N(CC)CC[N+]=2CC,CCO,597,644,,,47,,51.9,0.633,0.783,0.4,0.658
CCN1CCN(CC)c2cc3c(cc21)Oc1cc2c(cc1=C3c1ccccc1C(=O)O)N(CC)CC[N+]=2CC,CS(=O)C,603,652,,,49,,45.1,0.83,1,0.072,0.647
CCN1CCN(CC)c2cc3c(cc21)Oc1cc2c(cc1=C3c1ccccc1C(=O)O)N(CC)CC[N+]=2CC,C(Cl)Cl,603,652,,,49,,40.7,0.761,0.769,0.04,0.178
CCN1CCN(CC)c2cc3c(cc21)Oc1cc2c(cc1=C3c1ccccc1C(=O)O)N(CC)CC[N+]=2CC,CN(C)C=O,601,651,,,50,,43.2,0.759,0.977,0.031,0.613
CCN1CCN(CC)c2cc3c(cc21)Oc1cc2c(cc1=C3c1ccccc1C(=O)O)N(CC)CC[N+]=2CC,CO,598,645,,,47,,55.4,0.608,0.904,0.605,0.545
CCN1c2cc3[o+]c4cc(Cl)ccc4c(-c4ccccc4C(=O)O)c3cc2N(CC)C2CCCCC21,CC#N,489,690,0.015,62000,201,4.792391689,45.6,0.645,0.974,0.044,0.286
CCN1c2cc3[o+]c4cc(Cl)ccc4c(-c4ccccc4C(=O)O)c3cc2N(CC)C2CCCCC21,CCO,491,685,0.014,67000,194,4.826074803,51.9,0.633,0.783,0.4,0.658
CCN1c2cc3[o+]c4cc(Cl)ccc4c(-c4ccccc4C(=O)O)c3cc2N(CC)C2CCCCC21,C(Cl)Cl,492,665,0.13,68000,173,4.832508913,40.7,0.761,0.769,0.04,0.178
CCN1c2cc3[o+]c4cc(Cl)ccc4c(-c4ccccc4C(=O)O)c3cc2N(CC)C2CCCCC21,O,485,690,0.01,65000,205,4.812913357,63.1,0.681,0.997,1.062,0.025
CCOC(=O)CCCN1CCc2cc3c(cc21)C(C)(C)C1=CC(=[N+](C)C)C=CC1=C3,CCO,616,640,0.76,,24,,51.9,0.633,0.783,0.4,0.658
CCN(CC)c1ccc2c(c1)P(C)(=O)C1=CC(=[N+](CC)CC)C=CC1=C2c1ccccc1C,O,694,712,0.11,92000,18,4.963787827,63.1,0.681,0.997,1.062,0.025
O=C([O-])c1ccccc1-c1c2cc(Br)c(=O)c(Br)c-2oc2c(Br)c([O-])c(Br)cc12,CO,522,542,0.6,,20,,55.4,0.608,0.904,0.605,0.545
O=C([O-])c1ccccc1-c1c2cc(Br)c(=O)c(Br)c-2oc2c(Br)c([O-])c(Br)cc12,CCO,527,550,0.69,,23,,51.9,0.633,0.783,0.4,0.658
O=C([O-])c1ccccc1-c1c2cc(Br)c(=O)c(Br)c-2oc2c(Br)c([O-])c(Br)cc12,O,515,538,0.2,,23,,63.1,0.681,0.997,1.062,0.025
CN1CCC(C)(C)c2cc3c(cc21)Sc1cc2c(cc1=C3c1ccccc1)C(C)(C)CC[N+]=2C,CO,579,606,0.53,104000,27,5.017033339,55.4,0.608,0.904,0.605,0.545
CCN1c2cc3[o+]c4cc(OC)ccc4c(-c4ccccc4C(=O)O)c3cc2N(CC)C2CCCCC21,O,534,685,0.021,70000,151,4.84509804,63.1,0.681,0.997,1.062,0.025
CCN1c2cc3[o+]c4cc(OC)ccc4c(-c4ccccc4C(=O)O)c3cc2N(CC)C2CCCCC21,CCO,543,680,0.11,76000,137,4.880813592,51.9,0.633,0.783,0.4,0.658
CCN1c2cc3[o+]c4cc(OC)ccc4c(-c4ccccc4C(=O)O)c3cc2N(CC)C2CCCCC21,CC#N,543,666,0.1,70000,123,4.84509804,45.6,0.645,0.974,0.044,0.286
CCN1c2cc3[o+]c4cc(OC)ccc4c(-c4ccccc4C(=O)O)c3cc2N(CC)C2CCCCC21,C(Cl)Cl,548,653,0.31,73000,105,4.86332286,40.7,0.761,0.769,0.04,0.178
CC[N+](CC)=c1ccc2c(-c3ccccc3C(=O)O)c3ccc(-c4nc(-c5ccccc5)c(-c5ccccc5)[nH]4)cc3oc-2c1,O,571,651,,,80,,63.1,0.681,0.997,1.062,0.025
N#CNc1ccc2c(c1)Oc1c(cc3c4c1CCCN4CCC3)C21OC(=O)c2ccccc21,CCO,565,589,,84000,24,4.924279286,51.9,0.633,0.783,0.4,0.658
CCN1CCCc2cc3c(cc21)C(C)(C)c1cc2c(cc1=C3c1c(Cl)c(Cl)c(Cl)c(Cl)c1C(=O)O)CCC[N+]=2CC,CCO,662,692,0.6,,30,,51.9,0.633,0.783,0.4,0.658
